MatchID,Franchise,TimestampFrameNumber,AudioPeakScore,VisibleSponsorsDuringPeak
PBKS_vs_MI_Q2,PBKS,510.72,0.07684107,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,515.52,0.076072074,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,521.28,0.075644955,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,524.64,0.07599026,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,530.4,0.07653949,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,533.28,0.06941827,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,536.64,0.076734684,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,539.52,0.0735894,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,543.36,0.07670824,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,546.72,0.0765341,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,552.48,0.076863796,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,556.3199999999999,0.07081871,"ALL SEASONS, DREAM 11, KENT"
PBKS_vs_MI_Q2,PBKS,559.1999999999999,0.075997815,BKT
PBKS_vs_MI_Q2,PBKS,562.0799999999999,0.07669964,"ALL SEASONS, DREAM 11, KENT, VALVOLINE"
PBKS_vs_MI_Q2,PBKS,565.4399999999999,0.072176434,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,568.8,0.07690498,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,571.68,0.07632965,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,576.48,0.07688294,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,578.88,0.07628817,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,582.24,0.06420749,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,586.56,0.07628952,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,588.9599999999999,0.07285716,KENT
PBKS_vs_MI_Q2,PBKS,594.24,0.07689017,"AVON CYCLES, DREAM 11, kshema"
PBKS_vs_MI_Q2,PBKS,596.64,0.076887995,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,600.0,0.07637137,JIO
PBKS_vs_MI_Q2,PBKS,602.4,0.076875284,"JIO, KENT, VALVOLINE"
PBKS_vs_MI_Q2,PBKS,609.12,0.07648775,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,612.0,0.07688867,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,618.24,0.07674985,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,624.0,0.060499888,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,627.36,0.07636066,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,630.72,0.0767094,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,635.04,0.07671113,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,638.88,0.07602123,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,641.76,0.0741758,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,647.52,0.07688824,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,651.36,0.07625876,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,655.68,0.076908164,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,658.56,0.07685438,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,662.88,0.07671472,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,666.24,0.07613815,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,671.52,0.07295438,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,673.92,0.075999156,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,678.24,0.07586746,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,683.52,0.07655346,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,686.88,0.07689626,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,695.04,0.0767486,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,699.36,0.07621123,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,704.16,0.07667641,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,706.56,0.07396214,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,711.36,0.07676653,VALVOLINE
PBKS_vs_MI_Q2,PBKS,714.24,0.07684112,KENT
PBKS_vs_MI_Q2,PBKS,718.56,0.07653249,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,720.9599999999999,0.076885186,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,724.3199999999999,0.064759605,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,732.0,0.07687974,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,734.4,0.07664615,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,739.1999999999999,0.07462819,"DREAM 11, KENT"
PBKS_vs_MI_Q2,PBKS,741.6,0.07337454,KENT
PBKS_vs_MI_Q2,PBKS,744.0,0.077379934,KENT
PBKS_vs_MI_Q2,PBKS,747.8399999999999,0.07421447,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,751.1999999999999,0.07301103,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,753.6,0.075222805,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,756.0,0.07656043,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,759.36,0.076893024,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,762.72,0.07657357,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,766.0799999999999,0.076906785,"AVON CYCLES, DREAM 11, JIO"
PBKS_vs_MI_Q2,PBKS,768.9599999999999,0.07609086,"DREAM 11, KENT"
PBKS_vs_MI_Q2,PBKS,772.3199999999999,0.07693239,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,775.1999999999999,0.07595214,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,780.0,0.074553855,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,782.4,0.076068014,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,787.1999999999999,0.07615827,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,790.0799999999999,0.07672982,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,793.92,0.07614804,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,796.8,0.07011037,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,801.6,0.0768051,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,805.92,0.076559074,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,809.76,0.07649968,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,812.64,0.07684627,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,817.4399999999999,0.07639605,"ALL SEASONS, DREAM 11, KENT, VALVOLINE"
PBKS_vs_MI_Q2,PBKS,821.28,0.068300515,NoSponsorDetected
